Road_ID,Road_Name,Road_Code,Road_Type,District,State,Last Maintenance Date,Start_Km,End_Km,Total_Length_Km,Tender_ID,Estimated Amount (in Crores),Budget Estimate (in Crores),Total Work Value
R001,Agrathen Kovilanchery Road,MD -566,MDR,CHENNAI,Tamil Nadu,18 September 2025,0,7.1,7.1,2024_HWAY_422916_1,11.2,3.9,8.11
R002,Manali - Mathur Road,MD 1018,MDR,CHENNAI,Tamil Nadu,22 January 2026,0,5.7,5.7,2020_HWAY_173421_1,9.5,4.5,4.5
R003,Pallavaram-Thiruneermalai -Thirumudivakkam Road,MD -1163,MDR,CHENNAI,Tamil Nadu,14 August 2025,0,4,4,2020_HWAY_174982_1,4.8,2.8,1.71
R004,Madipakkam Velachery Road,MD -622,MDR,CHENNAI,Tamil Nadu,05 December 2025,0,3.2,3.2,2020_HWAY_174965_1,5.5,1.9,0.5
R005,Lakshmipuram - Puzhal Road,MD - 1019,MDR,CHENNAI,Tamil Nadu,17 April 2026,0,3,3,2020_HWAY_173456_1,4.4,1.8,0.8
R006,Tambaram- Somangalam -Nandambakkam Road,MD-1164,MDR,CHENNAI,Tamil Nadu,29 September 2025,0,2.4,2.4,2020_HWAY_175012_1,14.6,4.8,2.45
R007,K.S.Road to Manapakkam (via) Kolapakkam,N/A,MDR,CHENNAI,Tamil Nadu,11 February 2026,3.2,5.6,2.4,2020_HWAY_174899_1,4,1.9,0.6
R008,Taramani Perunkudi Road,MD -452,MDR,CHENNAI,Tamil Nadu,24 October 2025,0,2.01,2.01,2020_HWAY_174971_1,2.5,2.15,0.85
R009,MPA Road (IDPL Junction) to Manapakkam,N/A,MDR,CHENNAI,Tamil Nadu,07 June 2025,0,1.4,1.4,2024_HWAY_422916_1,8,3.2,8.11
R010,Vengal-Seethancheri-Kannigaiper road,MD-740,MDR,TIRUVALLUR,Tamil Nadu,15 January 2026,0,26.8,26.8,2020_HWAY_173425_1,23.3,1.36,3.2
R011,Medur - Gummidipoondi Road,MD-634,MDR,TIRUVALLUR,Tamil Nadu,03 September 2025,0,23.2,23.2,2020_HWAY_173488_1,9,3.6,4.8
R012,Kanakammachattiram - Thakkolam road,MD-1049,MDR,TIRUVALLUR,Tamil Nadu,28 April 2026,0,18.55,18.55,2020_HWAY_173444_1,6.5,1.8,2.1
R013,Minjur – Kattur – Thirupalaivanam Road,MD-1041,MDR,TIRUVALLUR,Tamil Nadu,19 November 2025,0,17.2,17.2,2020_HWAY_173471_1,14.8,4.9,4.2
R014,Gummidipoondi – Madarpakkam Road,MD-599,MDR,TIRUVALLUR,Tamil Nadu,09 March 2026,0,16.85,16.85,2020_HWAY_173499_1,16.5,5.2,3.8
R015,Tiruvallur - Arakkonam Road,MD-32,MDR,TIRUVALLUR,Tamil Nadu,13 May 2026,0,16.2,16.2,2020_HWAY_173418_1,32.4,9.8,5.4
R016,Tiruttani - Nagalapuram road,MD-719,MDR,TIRUVALLUR,Tamil Nadu,26 September 2025,0,14.565,14.565,2020_HWAY_173515_1,11,3.5,2.6
R017,Atthimaanjeri – Pothattur pet Nagari R.S. Road,MD-788,MDR,TIRUVALLUR,Tamil Nadu,08 February 2026,0,14.2,14.2,2020_HWAY_173530_1,8.9,2.7,1.95
R018,Goonipalayam-Placepalayam road,MD-787,MDR,TIRUVALLUR,Tamil Nadu,17 July 2025,0,12.8,12.8,2020_HWAY_173541_1,7.8,2.4,1.65
R019,Nochilli Road,MD-645,MDR,TIRUVALLUR,Tamil Nadu,30 November 2025,0,12.8,12.8,2020_HWAY_173522_1,4.5,1.6,1.85
R020,Thirupachur-kadambathur-Kondancheri road,MD-468,MDR,TIRUVALLUR,Tamil Nadu,21 March 2026,0,12.5,12.5,2020_HWAY_173432_1,18.4,5.9,3.9
R021,Puduvoyal - Periyapalayam Road,MD-378,MDR,TIRUVALLUR,Tamil Nadu,10 December 2025,0,12,12,2020_HWAY_173481_1,12.6,4.1,5.1
R022,C.T Road to Magankaligapuram Road (via) Veeramangalam Road,MD-580,MDR,TIRUVALLUR,Tamil Nadu,16 August 2025,0,11.6,11.6,2020_HWAY_173508_1,8.2,2.5,2.4
R023,Avadi – Vaniyan chathiram Road,MD-575,MDR,TIRUVALLUR,Tamil Nadu,04 February 2026,1.6,12,10.4,2020_HWAY_173463_1,15.3,5.1,3.15
R024,Thiruverkadu - Ambathur road ,MD-1166,MDR,TIRUVALLUR,Tamil Nadu,27 October 2025,0,9.2,9.2,2020_HWAY_175005_1,11.8,4.6,1.6
